"id","company_name","date","rd_budget","buget_use_rate","capital","turnover","net_income","income_capital_ratio","income_per_capital","all_capital","debt","SH_equity","cost","EPS","outside_income","season","month","update_time"
"106353","6156 松上","2018","5131","0.45","1136280","153627","4623","0.6","6.74","3979106","2213584","1765522","987276","0.49","4.18","1","3","2022-03-31 22:09:59"
"87863","3023 信邦","2016","99759","3","3322654","414934","415055","19.07","19.28","10879959","5029611","5850348","2492665","1.41","0.14","1","3","2022-03-31 22:00:17"
"6076","4113 聯上","1999","5055","0","0","7618","7618","76.18","65.02","6473","4432","2041","0","7.88","0","4","12","2022-03-31 21:17:32"
"113645","1809 中釉","2019","14845","3.01","492769","124053","47350","2.83","2.59","4755059","960875","3794184","418775","0.18","0.82","1","3","2022-03-31 22:13:48"
"60265","6270 倍微","2012","38995","1.77","2204310","233874","140378","18.68","42.74","2142277","422522","1719755","2110814","4.27","8.2","3","9","2022-03-31 21:45:47"
"51046","911602 華豐泰","2011","0","0","1105021","81861","73135","11.45","13.44","1686911","429397","1257514","950025","0.1","1.15","2","6","2022-03-31 21:40:56"
"96766","1707 葡萄王","2017","36345","1.81","2003929","1292288","447068","33.06","34.13","9538606","3489136","6049470","264573","1.92","0.72","1","3","2022-03-31 22:04:58"
"61300","4510 高鋒","2012","21242","1.43","1485840","216704","36672","4.22","3.1","2098022","986148","1111874","1232588","0.21","0.66","4","12","2022-03-31 21:46:19"
"40184","5226 太一","2009","11119","40.17","27683","34342","48122","41.85","46.35","173702","159520","14182","41463","4.83","18.69","4","12","2022-03-31 21:35:14"
"33150","4736 泰博","2008","147129","7.96","1848584","430385","318651","85.38","92.37","2010024","1007671","1002353","1099548","8.74","1.41","4","12","2022-03-31 21:31:32"
"83389","6238 勝麗","2015","28621","2.38","1204786","117892","146428","35.64","29.93","2018159","1363496","654663","940466","3.01","1.95","2","6","2022-03-31 21:57:54"
"124811","OTC12 OTC 食品類","2020","38362","0.62","6153253","857754","675312","19.18","18.89","14176089","6434882","7741207","4620187","1.42","0.17","2","6","2022-03-31 22:19:42"
"109559","2460 建通","2018","13929","0.47","2972785","276107","92440","5.46","5.98","5746896","3197425","2549471","2789118","0.49","0.29","3","9","2022-03-31 22:11:41"
"38045","TEJN05 傳產 紡織","2009","0","0","294328270","33706483","18219332","9.92","10.53","603978784","254965027","349013757","242402088","0.87","0.38","3","9","2022-03-31 21:34:07"
"34198","2357 華碩","2009","3124252","2.69","116059676","10210153","992407","2.34","3.07","318141022","126286758","191854264","106841930","0.11","1.98","1","3","2022-03-31 21:32:04"
"48799","8131 福懋科","2011","10426","0.34","3024871","26852","423501","9.58","10.14","17284790","7453754","9831036","2574518","0.78","0.82","1","3","2022-03-31 21:39:45"
"12149","3029 零壹","2003","55027","2.07","2658056","221779","47420","7.18","4.23","2205882","1137629","1068253","2388951","0.56","0.73","4","12","2022-03-31 21:20:41"
"7336","2107 厚生","2000","29391","1.74","1686911","223374","75734","1.91","4.27","7577067","3717279","3859788","1387803","0.4","14.54","4","12","2022-03-31 21:18:11"
"108162","8354 冠好","2018","4409","1.13","389548","55469","20128","2.87","8.33","3024548","1518328","1506220","313951","0.76","9.83","2","6","2022-03-31 22:10:56"
"96532","4120 友華","2017","68157","5.12","1330394","438225","181005","20.87","23.45","6215932","2261898","3954034","711164","2.02","1.69","1","3","2022-03-31 22:04:50"
"46415","1714 和桐","2010","0","0","43003190","1073079","1851019","25.99","27.02","26819329","14944362","11874967","40079092","1.74","0.17","4","12","2022-03-31 21:38:29"
"29173","2006 東和鋼鐵","2008","0","0","25748851","1142035","3190515","33.8","35.63","42301647","21443964","20857683","21416301","2.64","0.67","2","6","2022-03-31 21:29:24"
"84437","2359 所羅門","2015","32314","0.97","3344637","475036","212086","12.37","18.15","5857555","1010379","4847176","2657515","1.21","2.96","3","9","2022-03-31 21:58:27"
"6628","2543 皇昌","2000","0","0","3006881","80489","208926","24.09","11","3676967","2656715","1020252","2717466","0.99","3.78","4","12","2022-03-31 21:17:49"
"42067","6184 大豐電","2010","0","0","162128","23124","73889","11.92","14.52","1636957","214931","1422026","65115","1.21","9.94","1","3","2022-03-31 21:36:12"
"122675","O2327 OTC 通信網路業","2020","1037740","6.35","16331274","3383770","774866","2.54","2.02","97528404","34661701","62866703","12190372","0.1","0.97","1","3","2022-03-31 22:18:35"
"25590","1713 國化","2007","0","0","666868","45117","22206","1.47","3.5","2361801","149504","2212297","599545","0.32","4.6","4","12","2022-03-31 21:27:34"
"57849","1218 泰山","2012","0","0","4670822","570857","136400","3.86","1.7","8614599","5034391","3580208","4219018","0.2","1.64","2","6","2022-03-31 21:44:30"
"103995","9910 豐泰","2017","2078587","3.55","58633388","7683538","5795199","86.76","95.84","31037443","15605646","15431797","45154651","6.58","1.03","4","12","2022-03-31 22:08:45"
"120430","8213 志超","2019","0","0","21701863","1802175","1413930","52.13","54.28","29006121","17262641","11743480","18485758","4.08","0.27","4","12","2022-03-31 22:17:22"
"104763","2722 夏都","2018","0","0","114313","53241","25738","2.4","2.35","2224424","495750","1728674","86802","0.23","0.46","1","3","2022-03-31 22:09:09"
"122626","6680 鑫創電子","2020","4627","5.23","88464","16646","13110","7.49","9.47","552226","192082","360144","58708","0.75","3.91","1","3","2022-03-31 22:18:33"
